Packet Number (n), App Timestamp (us),Sensor Timestamp (us),1 (uV),2 (uV),3 (uV),4 (uV),5 (uV),6 (uV),7 (uV),8 (uV),9 (uV),10 (uV),11 (uV),12 (uV),13 (uV),14 (uV),15 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,608,-34,461,1419,1681,271572,,,,,,,,,,,,-1,,,,,
,-361,,42,119,-308,169500,,,,,,,,,,,,1,,,,,
,-69,-9,-450,-1264,-1703,16211,,,,,,,,,,,,,,,,,
,5,10,-1824,-5349,-7867,-237128,,,,,,,,,,,,4,,,,,
,-84,-16,-456,-1381,-2346,-206296,,,,,,,,,,,,-12,,,,,
,-74,14,-1,-5,-507,6240,,,,,,,,,,,,5,,,,,
,4,,488,1372,1814,65782,,,,,,,,,,,,12,,,,,
,356,1,1807,5196,8755,130301,,,,,,,,,,,,-7,,,,,
,-353,-11,412,1294,2747,60080,,,,,,,,,,,,,,,,,
,-798,-3,-24,28,-58,21360,,,,,,,,,,,,2,,,,,
,149,4,-450,-1270,-2561,61634,,,,,,,,,,,,-4,,,,,
,304,-3,-1766,-5108,-8767,-65264,,,,,,,,,,,,7,,,,,
,-274,-34,-419,-1399,-1932,-142089,,,,,,,,,,,,4,,,,,
,118,15,-36,-101,602,-131929,,,,,,,,,,,,-6,,,,,
,2104,-9,415,1223,2030,-32727,,,,,,,,,,,,4,,,,,
,-1658,-1,1822,5006,7509,181812,,,,,,,,,,,,-9,,,,,
,11,-2,478,2212,3144,119626,,,,,,,,,,,,-4,,,,,
,893,-17,6,-675,-938,-30893,,,,,,,,,,,,7,,,,,
,-941,-2,-494,-1159,-1075,-51918,,,,,,,,,,,,,,,,,
,-196,21,-1814,-5234,-8495,-61594,,,,,,,,,,,,2,,,,,
,2591,-23,-418,-1368,-2734,1392,,,,,,,,,,,,-1,,,,,
,-2842,19,21,117,-307,17889,,,,,,,,,,,,1,,,,,
,563,-29,474,1219,2337,-1026,,,,,,,,,,,,-6,,,,,
,-205,15,1761,5105,9038,24449,,,,,,,,,,,,6,,,,,
,447,-14,407,1407,2161,32222,,,,,,,,,,,,4,,,,,
,86,4,-2,5,-471,32548,,,,,,,,,,,,6,,,,,
,-584,7,-403,-1130,-2378,5641,,,,,,,,,,,,-7,,,,,
,-243,4,-1777,-5225,-8190,-69516,,,,,,,,,,,,1,,,,,
,-166,-21,-463,-1522,-1653,-55658,,,,,,,,,,,,-10,,,,,
,580,-4,-31,-27,-43,5948,,,,,,,,,,,,-2,,,,,
,-607,3,450,1256,1648,31640,,,,,,,,,,,,,,,,,
,256,5,1844,5345,8052,55855,,,,,,,,,,,,7,,,,,
,1339,12,452,1441,2431,9813,,,,,,,,,,,,3,,,,,
,-1096,-26,-45,-114,648,-24700,,,,,,,,,,,,-5,,,,,
,2659,-3,-482,-1294,-2079,-7207,,,,,,,,,,,,10,,,,,
,-1444,8,-1775,-5221,-8890,-22769,,,,,,,,,,,,-5,,,,,
,-1375,-8,-392,-1286,-2615,-6950,,,,,,,,,,,,-12,,,,,
,-122,1,8,25,195,-12577,,,,,,,,,,,,4,,,,,
,396,1,421,1126,2707,-27767,,,,,,,,,,,,9,,,,,
,-341,-2,1756,5189,8437,54624,,,,,,,,,,,,-12,,,,,
,1275,-1,466,1385,1654,53923,,,,,,,,,,,,3,,,,,
,-1243,-8,26,31,-545,15349,,,,,,,,,,,,15,,,,,
,39,8,-455,-717,-863,-5496,,,,,,,,,,,,3,,,,,
,91,-1,-1806,-5899,-8885,-100636,,,,,,,,,,,,-21,,,,,
,1887,1,-467,-1256,-1872,-28534,,,,,,,,,,,,10,,,,,
,-1450,-16,-7,25,-417,28785,,,,,,,,,,,,-7,,,,,
,126,-17,498,1304,1651,25863,,,,,,,,,,,,3,,,,,
,1180,-10,1802,5267,8614,49357,,,,,,,,,,,,3,,,,,
,878,35,415,1330,2867,-7090,,,,,,,,,,,,1,,,,,
,-2920,-18,-26,-53,53,-6991,,,,,,,,,,,,-1,,,,,
,-10,-13,-442,-1218,-2482,16367,,,,,,,,,,,,-5,,,,,
,264,13,-1761,-5117,-8818,-36039,,,,,,,,,,,,5,,,,,
,-496,-11,-432,-1360,-2128,-28997,,,,,,,,,,,,3,,,,,
,1009,-27,-19,-137,610,-33607,,,,,,,,,,,,-1,,,,,
,1012,8,435,1176,2152,1904,,,,,,,,,,,,-8,,,,,
,-1807,14,1779,5259,8003,80958,,,,,,,,,,,,10,,,,,
,420,-32,477,1534,1811,39148,,,,,,,,,,,,-15,,,,,
,-271,1,20,47,139,-4259,,,,,,,,,,,,5,,,,,
,2186,,-477,-1377,-1422,-38156,,,,,,,,,,,,9,,,,,
,-2223,12,-1836,-5285,-8330,-57863,,,,,,,,,,,,2,,,,,
,202,1,-444,-1379,-2730,1885,,,,,,,,,,,,-8,,,,,
,-17,-1,43,93,-376,15405,,,,,,,,,,,,8,,,,,
,521,-34,480,1285,2215,5068,,,,,,,,,,,,-9,,,,,
,-208,8,1780,5112,9038,22030,,,,,,,,,,,,12,,,,,
,-251,-3,414,1380,2320,14766,,,,,,,,,,,,-8,,,,,
,418,22,-14,15,-440,27303,,,,,,,,,,,,7,,,,,
,291,-27,-417,-1402,-2861,5200,,,,,,,,,,,,-7,,,,,
,-865,-10,-1759,-4537,-7144,-50264,,,,,,,,,,,,-2,,,,,
,425,10,-472,-2027,-2661,-60770,,,,,,,,,,,,7,,,,,
,63,3,-40,33,334,-13023,,,,,,,,,,,,4,,,,,
,530,-11,445,1273,1730,36638,,,,,,,,,,,,-1,,,,,
,-835,-19,1819,5324,8030,72913,,,,,,,,,,,,-14,,,,,
,-153,17,479,1492,2230,21994,,,,,,,,,,,,9,,,,,
,-82,-20,-21,-97,635,-28805,,,,,,,,,,,,3,,,,,
,817,,-495,-1320,-1863,-20506,,,,,,,,,,,,-11,,,,,
,-883,3,-1811,-5233,-8843,-28349,,,,,,,,,,,,-5,,,,,
,83,-12,-388,-1317,-2689,-6541,,,,,,,,,,,,8,,,,,
,-250,-10,32,70,25,-2566,,,,,,,,,,,,1,,,,,
,254,19,443,1149,2711,-20825,,,,,,,,,,,,1,,,,,
,-132,-9,1742,5154,8601,42139,,,,,,,,,,,,6,,,,,
,181,-13,439,1433,1825,49597,,,,,,,,,,,,-5,,,,,
,130,13,31,73,-425,19428,,,,,,,,,,,,-1,,,,,
,-383,-16,-431,-1176,-2031,-9472,,,,,,,,,,,,2,,,,,
,1945,-4,-1798,-5325,-7806,-83144,,,,,,,,,,,,-7,,,,,
,-1078,-11,-485,-1468,-2082,-39179,,,,,,,,,,,,9,,,,,
,153,12,2,5,-383,23444,,,,,,,,,,,,-8,,,,,
,83,-1,482,1324,1712,28481,,,,,,,,,,,,4,,,,,
,-497,-9,1825,5297,8402,54146,,,,,,,,,,,,-6,,,,,
,155,-20,426,1301,2755,-4422,,,,,,,,,,,,3,,,,,
,-993,-1,-43,-32,273,-14260,,,,,,,,,,,,13,,,,,
,463,21,-463,-1241,-2444,14310,,,,,,,,,,,,1,,,,,
,243,-20,-1772,-5195,-8878,-33809,,,,,,,,,,,,-10,,,,,
,-644,4,-401,-1474,-2608,-26309,,,,,,,,,,,,-2,,,,,
,298,-4,-22,467,1703,-19595,,,,,,,,,,,,3,,,,,
,-89,3,415,570,1222,-16996,,,,,,,,,,,,1,,,,,
,377,1,1783,5434,8395,79502,,,,,,,,,,,,4,,,,,
,-271,-4,477,1503,1783,45981,,,,,,,,,,,,-7,,,,,
,-25,-1,48,99,-42,651,,,,,,,,,,,,4,,,,,
,-280,-30,-472,-1322,-1415,-35802,,,,,,,,,,,,7,,,,,
,245,-1,-1840,-5345,-8179,-69723,,,,,,,,,,,,-5,,,,,
,-62,19,-451,-1378,-2614,-2158,,,,,,,,,,,,-3,,,,,
,-234,-17,25,62,-446,18985,,,,,,,,,,,,1,,,,,
,59,3,473,1316,2001,11685,,,,,,,,,,,,-4,,,,,
,-149,-3,1787,5150,9025,26147,,,,,,,,,,,,-3,,,,,
,708,,411,1338,2523,4888,,,,,,,,,,,,,,,,,
,-743,,-20,14,-369,21390,,,,,,,,,,,,-8,,,,,
,193,-13,-436,-1195,-2495,10719,,,,,,,,,,,,4,,,,,
,181,-13,-1755,-5135,-8534,-47321,,,,,,,,,,,,19,,,,,
,264,-6,-427,-1455,-1656,-46226,,,,,,,,,,,,-9,,,,,
,238,-3,-42,-87,340,-18888,,,,,,,,,,,,-7,,,,,
,-137,,429,1205,1695,27625,,,,,,,,,,,,-7,,,,,
,-719,4,1832,5308,8016,71396,,,,,,,,,,,,5,,,,,
,675,-4,480,1529,2079,25818,,,,,,,,,,,,,,,,,
,-565,9,-23,-105,515,-25312,,,,,,,,,,,,-2,,,,,
,290,-9,-494,-1330,-1629,-27734,,,,,,,,,,,,13,,,,,
,-619,-13,-1809,-5217,-8754,-31628,,,,,,,,,,,,-1,,,,,
,159,13,-409,-1330,-2710,-2009,,,,,,,,,,,,,,,,,
,597,-10,38,67,-246,3340,,,,,,,,,,,,,,,,,
,-452,-21,431,1090,2531,-16856,,,,,,,,,,,,-9,,,,,
,2755,,1766,5535,9615,37798,,,,,,,,,,,,-7,,,,,
,-2903,,440,938,935,34422,,,,,,,,,,,,-4,,,,,
,1463,4,4,204,-169,24735,,,,,,,,,,,,6,,,,,
,-1125,1,-425,-1120,-2159,-3535,,,,,,,,,,,,2,,,,,
,887,-2,-1781,-5312,-7879,-74049,,,,,,,,,,,,5,,,,,
,-334,2,-479,-1479,-1854,-44097,,,,,,,,,,,,3,,,,,
,-599,-15,-21,24,-308,16806,,,,,,,,,,,,-1,,,,,
,-9,-44,473,1251,1603,29760,,,,,,,,,,,,9,,,,,
,274,1,1837,5357,8304,54639,,,,,,,,,,,,-9,,,,,
,-3,45,445,1357,2697,-249,,,,,,,,,,,,-5,,,,,
,9,-2,-35,-113,423,-20970,,,,,,,,,,,,6,,,,,
,-219,-17,-480,-1227,-2311,7082,,,,,,,,,,,,,,,,,
,-362,,-1780,-5183,-8898,-27609,,,,,,,,,,,,,,,,,
,664,-36,-397,-1280,-2461,-14201,,,,,,,,,,,,5,,,,,
,-184,40,5,-57,513,-19470,,,,,,,,,,,,-3,,,,,
,22,-5,388,1105,2529,-12693,,,,,,,,,,,,-7,,,,,
,-67,-35,1774,5228,8142,60481,,,,,,,,,,,,-6,,,,,
,-187,,496,1466,1719,38651,,,,,,,,,,,,1,,,,,
,-1,-19,38,144,-172,6562,,,,,,,,,,,,9,,,,,
,-81,,-458,-1301,-1511,-26150,,,,,,,,,,,,-4,,,,,
,97,-11,-1835,-5389,-8036,-71325,,,,,,,,,,,,7,,,,,
,-157,11,-458,-1376,-2513,-6865,,,,,,,,,,,,6,,,,,
,260,2,24,36,-479,23334,,,,,,,,,,,,-9,,,,,
,287,-7,484,1368,1924,15334,,,,,,,,,,,,-4,,,,,
,1558,9,1790,4941,8446,26507,,,,,,,,,,,,-6,,,,,
,-935,-15,397,1950,3909,2163,,,,,,,,,,,,15,,,,,
,-781,-20,-31,-580,-1348,7710,,,,,,,,,,,,-7,,,,,
,-254,17,-424,-1083,-2254,10490,,,,,,,,,,,,4,,,,,
,1065,3,-1755,-5081,-8604,-35591,,,,,,,,,,,,-5,,,,,
,-1320,-19,-437,-1430,-1819,-32925,,,,,,,,,,,,1,,,,,
,308,,-36,-124,478,-21270,,,,,,,,,,,,6,,,,,
,-310,-12,427,1236,1868,18747,,,,,,,,,,,,-4,,,,,
,198,12,1815,5252,7980,63224,,,,,,,,,,,,-2,,,,,
,688,4,487,1556,1949,25783,,,,,,,,,,,,5,,,,,
,-627,-4,4,-34,426,-15049,,,,,,,,,,,,,,,,,
,-278,-10,-492,-1364,-1507,-31155,,,,,,,,,,,,-2,,,,,
,622,-23,-1819,-5241,-8654,-34549,,,,,,,,,,,,1,,,,,
,280,22,-428,-1367,-2756,1182,,,,,,,,,,,,9,,,,,
,-890,-20,34,126,-250,7237,,,,,,,,,,,,-8,,,,,
,1057,-13,480,1221,2532,-6728,,,,,,,,,,,,-3,,,,,
,-1110,1,1752,5054,8910,21500,,,,,,,,,,,,5,,,,,
,470,13,410,1430,2033,28913,,,,,,,,,,,,-4,,,,,
,117,-1,10,55,-454,21529,,,,,,,,,,,,-3,,,,,
,-359,-11,-418,-1140,-2295,-406,,,,,,,,,,,,-12,,,,,
,259,1,-1786,-5260,-8077,-59670,,,,,,,,,,,,6,,,,,
,897,-21,-466,-1525,-1723,-48920,,,,,,,,,,,,8,,,,,
,121,21,-25,-16,-140,2635,,,,,,,,,,,,,,,,,
,-1295,-20,470,1268,1615,36037,,,,,,,,,,,,1,,,,,
,632,-12,1823,5362,8157,77021,,,,,,,,,,,,16,,,,,
,326,16,454,1359,2504,14418,,,,,,,,,,,,-9,,,,,
,-1002,-5,-43,-268,278,-45208,,,,,,,,,,,,-8,,,,,
,135,-11,-481,-683,-1122,8410,,,,,,,,,,,,8,,,,,
,-63,12,-1787,-5780,-10017,-42841,,,,,,,,,,,,,,,,,
,-98,,-396,-1098,-2193,-16545,,,,,,,,,,,,-2,,,,,
,198,-11,,-26,359,-18986,,,,,,,,,,,,-12,,,,,
,-277,1,430,1116,2643,-31856,,,,,,,,,,,,-1,,,,,
,268,-22,1786,5231,8325,74161,,,,,,,,,,,,8,,,,,
,-423,-10,441,1437,1715,72494,,,,,,,,,,,,-1,,,,,
,1063,17,34,137,-299,20792,,,,,,,,,,,,,,,,,
,-1093,-17,-435,-1275,-1724,-26279,,,,,,,,,,,,-7,,,,,
,198,,-1830,-5339,-7842,-111443,,,,,,,,,,,,-1,,,,,
,-182,8,-485,-1415,-2362,-33447,,,,,,,,,,,,2,,,,,
,540,-9,15,5,-485,35962,,,,,,,,,,,,15,,,,,
,381,1,480,1372,1770,28995,,,,,,,,,,,,-1,,,,,
,-823,,1812,5212,8736,50020,,,,,,,,,,,,-1,,,,,
,117,1,414,1291,2801,-5942,,,,,,,,,,,,-7,,,,,
,599,-21,-15,-22,-114,4486,,,,,,,,,,,,2,,,,,
,-515,-1,-448,-1236,-2501,20829,,,,,,,,,,,,-4,,,,,
,-246,-9,-1755,-5077,-8748,-45647,,,,,,,,,,,,-3,,,,,
,529,,-430,-1423,-2002,-43649,,,,,,,,,,,,11,,,,,
,1240,-2,-34,-93,612,-41957,,,,,,,,,,,,4,,,,,
,-1692,13,411,1229,2054,9868,,,,,,,,,,,,-2,,,,,
,131,,1821,5208,7932,98479,,,,,,,,,,,,2,,,,,
,67,-11,491,1529,1899,50900,,,,,,,,,,,,-1,,,,,
,225,-20,10,23,261,-10875,,,,,,,,,,,,-3,,,,,
,132,20,-483,-1576,-1848,-52357,,,,,,,,,,,,2,,,,,
,-475,-32,-1845,-4658,-7361,-58220,,,,,,,,,,,,-3,,,,,
,-132,-1,-434,-1895,-3703,-2715,,,,,,,,,,,,-4,,,,,
,357,1,44,210,-167,15118,,,,,,,,,,,,-10,,,,,
,-235,1,460,1263,2364,404,,,,,,,,,,,,1,,,,,
,424,16,1776,5118,9093,25465,,,,,,,,,,,,5,,,,,
,-444,-5,419,1387,2144,31303,,,,,,,,,,,,-2,,,,,
,-84,-11,5,32,-457,33727,,,,,,,,,,,,9,,,,,
,410,-11,-430,-1141,-2366,7864,,,,,,,,,,,,1,,,,,
,-104,12,-1777,-5204,-8179,-70563,,,,,,,,,,,,,,,,,
,340,-1,-461,-1559,-1704,-68153,,,,,,,,,,,,2,,,,,
,94,-32,-26,-16,7,-7228,,,,,,,,,,,,1,,,,,
,-121,-2,465,1239,1617,38724,,,,,,,,,,,,-5,,,,,
,-605,3,1825,5351,8112,82624,,,,,,,,,,,,,,,,,
,-3,-1,454,1448,2378,22048,,,,,,,,,,,,-5,,,,,
,-385,1,-30,-114,625,-38323,,,,,,,,,,,,1,,,,,
,34,,-483,-1294,-2024,-13786,,,,,,,,,,,,7,,,,,
,324,,-1788,-5227,-8918,-29188,,,,,,,,,,,,3,,,,,
,226,-23,-403,-1269,-2596,-11036,,,,,,,,,,,,-9,,,,,
,-6,23,10,32,172,-8028,,,,,,,,,,,,-7,,,,,
,-592,-20,425,1102,2668,-25274,,,,,,,,,,,,17,,,,,
,264,-12,1769,5203,8525,53857,,,,,,,,,,,,-7,,,,,
,601,2,465,1409,1718,65263,,,,,,,,,,,,-8,,,,,
,-315,-1,37,146,-323,20900,,,,,,,,,,,,2,,,,,
,-74,9,-442,-1231,-1923,-18268,,,,,,,,,,,,2,,,,,
,8,2,-1827,-5335,-7807,-101210,,,,,,,,,,,,2,,,,,
,-365,-29,-472,-1664,-2610,-44200,,,,,,,,,,,,5,,,,,
,222,19,-14,679,828,41483,,,,,,,,,,,,-10,,,,,
,313,-1,493,670,453,21375,,,,,,,,,,,,-6,,,,,
,-465,-20,1821,5469,8942,57655,,,,,,,,,,,,13,,,,,
,800,-1,420,1289,2815,-5537,,,,,,,,,,,,,,,,,
,-450,-9,-35,-20,115,-8970,,,,,,,,,,,,3,,,,,
,99,-1,-455,-1267,-2542,18824,,,,,,,,,,,,-1,,,,,
,-144,22,-1756,-5110,-8775,-39493,,,,,,,,,,,,-4,,,,,
,-209,-21,-434,-1332,-2150,-31094,,,,,,,,,,,,5,,,,,
,92,,-27,-115,620,-33415,,,,,,,,,,,,-3,,,,,
,102,,419,1174,2208,-539,,,,,,,,,,,,-6,,,,,
,343,-1,1801,5259,8013,83411,,,,,,,,,,,,11,,,,,
,-61,1,491,1514,1824,44423,,,,,,,,,,,,-3,,,,,
,-240,-21,18,44,77,-1817,,,,,,,,,,,,-15,,,,,
,198,-13,-468,-1384,-1435,-41472,,,,,,,,,,,,-2,,,,,
,713,14,-1843,-5250,-8249,-68181,,,,,,,,,,,,6,,,,,
,-1229,-11,-456,-1410,-2742,-1858,,,,,,,,,,,,2,,,,,
,-127,10,39,113,-388,18356,,,,,,,,,,,,,,,,,
,8,-10,482,1273,2126,7826,,,,,,,,,,,,4,,,,,
,427,-5,1772,5105,9060,26699,,,,,,,,,,,,1,,,,,
,-176,5,407,1370,2378,16753,,,,,,,,,,,,-1,,,,,
,-17,-9,2,29,-433,33104,,,,,,,,,,,,8,,,,,
,-42,-9,-415,-1159,-2451,13276,,,,,,,,,,,,2,,,,,
,1859,-3,-1776,-5164,-8375,-65392,,,,,,,,,,,,-19,,,,,
,-2146,22,-460,-1482,-1647,-70306,,,,,,,,,,,,12,,,,,
,637,-12,-41,-86,192,-19891,,,,,,,,,,,,-3,,,,,
,201,10,453,1000,1234,35814,,,,,,,,,,,,-5,,,,,
,-761,-28,1834,5993,9308,102625,,,,,,,,,,,,-2,,,,,
,661,-1,463,858,992,27188,,,,,,,,,,,,9,,,,,
,1602,18,-14,77,956,-33812,,,,,,,,,,,,-4,,,,,
,-2006,2,-494,-1297,-1788,-30414,,,,,,,,,,,,3,,,,,
,-129,-47,-1808,-5220,-8855,-36774,,,,,,,,,,,,-3,,,,,
,1004,21,-411,-1308,-2691,-9804,,,,,,,,,,,,-10,,,,,
,1408,5,36,68,15,-301,,,,,,,,,,,,,,,,,
,-1883,1,450,1121,2687,-25477,,,,,,,,,,,,12,,,,,
,-695,-46,1741,5168,8693,44787,,,,,,,,,,,,5,,,,,
,500,1,439,1417,1741,63251,,,,,,,,,,,,-10,,,,,
,534,2,49,102,-397,27974,,,,,,,,,,,,6,,,,,
,-540,33,-444,-1160,-2034,-8308,,,,,,,,,,,,-3,,,,,
,-569,-46,-1815,-5326,-7851,-98394,,,,,,,,,,,,,,,,,
,497,-3,-469,-1480,-1989,-54862,,,,,,,,,,,,-7,,,,,
,-275,1,-13,-2,-432,26132,,,,,,,,,,,,6,,,,,
,698,3,482,1314,1683,35840,,,,,,,,,,,,9,,,,,
,-1155,14,1825,5302,8390,65318,,,,,,,,,,,,1,,,,,
,261,-35,428,1322,2779,-563,,,,,,,,,,,,-19,,,,,
,1560,5,-41,-78,265,-21393,,,,,,,,,,,,8,,,,,
,-1352,-4,-473,-1248,-2434,16016,,,,,,,,,,,,3,,,,,
,492,1,-1761,-5150,-8820,-37078,,,,,,,,,,,,15,,,,,
,30,-1,-400,-1295,-2290,-28363,,,,,,,,,,,,-3,,,,,
,-723,-15,-22,-90,557,-34604,,,,,,,,,,,,-13,,,,,
,1277,6,433,1157,2391,-15049,,,,,,,,,,,,8,,,,,
,-986,-4,1771,5029,7682,88012,,,,,,,,,,,,4,,,,,
,370,14,490,2071,2854,66577,,,,,,,,,,,,-3,,,,,
,-744,-1,30,-414,-1011,610,,,,,,,,,,,,-11,,,,,
,1002,-11,-476,-1268,-1348,-43778,,,,,,,,,,,,9,,,,,
,-844,-20,-1828,-5268,-8015,-83797,,,,,,,,,,,,,,,,,
,1705,29,-445,-1384,-2590,-7241,,,,,,,,,,,,-9,,,,,
,1660,-8,21,67,-464,24264,,,,,,,,,,,,9,,,,,
,-2394,-18,480,1323,1993,15166,,,,,,,,,,,,10,,,,,
,-717,-15,1780,5139,8987,32569,,,,,,,,,,,,-24,,,,,
,1825,9,420,1325,2526,4501,,,,,,,,,,,,1,,,,,
,910,6,-25,9,-323,24645,,,,,,,,,,,,,,,,,
,-2060,-12,-421,-1195,-2504,16354,,,,,,,,,,,,,,,,,
,-1006,22,-1748,-5079,-8490,-55052,,,,,,,,,,,,4,,,,,
,329,-43,-460,-1502,-1731,-57481,,,,,,,,,,,,9,,,,,
,1445,14,-36,-105,350,-23343,,,,,,,,,,,,-7,,,,,
,1317,,418,1260,1771,30525,,,,,,,,,,,,5,,,,,
,-2126,-17,1820,5267,7944,79606,,,,,,,,,,,,-7,,,,,
,-964,-1,496,1527,2073,31974,,,,,,,,,,,,-8,,,,,
,1985,16,-8,-64,547,-23712,,,,,,,,,,,,8,,,,,
,1364,-8,-490,-1338,-1637,-33433,,,,,,,,,,,,-2,,,,,
,-1500,-29,-1812,-5232,-8772,-36808,,,,,,,,,,,,12,,,,,
,-1966,15,-411,-1357,-2710,-2864,,,,,,,,,,,,-5,,,,,
,921,-10,36,111,-144,6044,,,,,,,,,,,,9,,,,,
,-329,17,437,1185,2644,-14179,,,,,,,,,,,,5,,,,,
,-90,-25,1759,5112,8821,30729,,,,,,,,,,,,-10,,,,,
,329,9,418,1421,1884,43525,,,,,,,,,,,,-3,,,,,
,-284,-1,29,-154,-861,21343,,,,,,,,,,,,-8,,,,,
,2653,,-413,-501,-960,7541,,,,,,,,,,,,-7,,,,,
,-2876,,-1800,-5931,-9154,-86818,,,,,,,,,,,,10,,,,,
,-499,,-488,-1299,-1491,-50168,,,,,,,,,,,,8,,,,,
,3389,-8,-18,12,-265,16623,,,,,,,,,,,,1,,,,,
,1226,-11,479,1268,1676,33010,,,,,,,,,,,,-3,,,,,
,-3723,-19,1836,5358,8279,63865,,,,,,,,,,,,7,,,,,
,-516,-9,434,1356,2619,2365,,,,,,,,,,,,-7,,,,,
,-325,22,-39,-96,469,-25073,,,,,,,,,,,,-2,,,,,
,2583,-18,-467,-1253,-2300,7726,,,,,,,,,,,,-2,,,,,
,896,16,-1770,-5197,-8908,-30634,,,,,,,,,,,,-6,,,,,
,-2412,-4,-397,-1268,-2473,-18582,,,,,,,,,,,,2,,,,,
,-802,-18,-17,-66,463,-23373,,,,,,,,,,,,7,,,,,
,-139,-4,423,1139,2564,-19980,,,,,,,,,,,,-8,,,,,
,51,-21,1773,5235,8177,72596,,,,,,,,,,,,2,,,,,
,-143,2,475,1460,1767,55414,,,,,,,,,,,,4,,,,,
,-116,,26,98,-227,8781,,,,,,,,,,,,-2,,,,,
,550,-2,-465,-1299,-1594,-32464,,,,,,,,,,,,8,,,,,
,46,-9,-1824,-5307,-7931,-85236,,,,,,,,,,,,-8,,,,,
,-419,9,-467,-1402,-2505,-12117,,,,,,,,,,,,12,,,,,
,150,1,23,-13,-511,26853,,,,,,,,,,,,-6,,,,,
,-217,1,498,1358,1895,20381,,,,,,,,,,,,5,,,,,
,329,-1,1795,5193,8831,31870,,,,,,,,,,,,1,,,,,
,109,-14,410,1314,2727,-3343,,,,,,,,,,,,-1,,,,,
,-230,-20,-35,6,-197,12930,,,,,,,,,,,,-8,,,,,
,215,23,-443,-1278,-2611,13121,,,,,,,,,,,,1,,,,,
,-234,-23,-1748,-5141,-8735,-44256,,,,,,,,,,,,4,,,,,
,777,-11,-432,-1039,-1068,-29895,,,,,,,,,,,,-3,,,,,
,-112,12,-37,-632,-474,-31350,,,,,,,,,,,,-5,,,,,
,1164,,425,1419,2226,21514,,,,,,,,,,,,4,,,,,
,-1393,40,1814,5278,8003,71662,,,,,,,,,,,,-7,,,,,
,-315,-44,475,1530,1909,27884,,,,,,,,,,,,6,,,,,
,-102,-2,8,-14,439,-13647,,,,,,,,,,,,4,,,,,
,-228,,-487,-1381,-1525,-34726,,,,,,,,,,,,-7,,,,,
,218,2,-1811,-5222,-8590,-39367,,,,,,,,,,,,3,,,,,
,-40,-11,-425,-1361,-2759,681,,,,,,,,,,,,12,,,,,
,-275,-2,26,110,-263,8509,,,,,,,,,,,,-7,,,,,
,654,7,464,1185,2447,-6839,,,,,,,,,,,,-6,,,,,
,-262,2,1776,5122,8978,23494,,,,,,,,,,,,-5,,,,,
,-248,-2,419,1415,2045,30331,,,,,,,,,,,,3,,,,,
,293,-18,-8,6,-475,23460,,,,,,,,,,,,4,,,,,
,-409,21,-416,-1122,-2312,739,,,,,,,,,,,,3,,,,,
,216,-4,-1789,-5247,-8076,-62834,,,,,,,,,,,,,,,,,
,2426,-19,-469,-1514,-1727,-44064,,,,,,,,,,,,-2,,,,,
,-2767,,-41,9,-116,7489,,,,,,,,,,,,6,,,,,
,499,-1,475,1252,1609,28053,,,,,,,,,,,,-11,,,,,
,-88,1,1843,5339,8124,59837,,,,,,,,,,,,5,,,,,
,19,2,445,1414,2581,9746,,,,,,,,,,,,-9,,,,,
,-491,-31,-25,-108,572,-28176,,,,,,,,,,,,2,,,,,
,325,28,-482,-1283,-2221,-2838,,,,,,,,,,,,3,,,,,
,450,10,-1795,-5200,-8889,-27051,,,,,,,,,,,,7,,,,,
,4106,-39,-384,-1485,-2940,-15497,,,,,,,,,,,,-8,,,,,
,-3782,-14,12,613,1507,-5567,,,,,,,,,,,,2,,,,,
,-1047,2,397,512,1520,-27947,,,,,,,,,,,,-7,,,,,
,478,-1,1769,5355,8611,58993,,,,,,,,,,,,1,,,,,
,-70,17,458,1465,1764,51643,,,,,,,,,,,,,,,,,
,1165,19,53,150,-282,12874,,,,,,,,,,,,11,,,,,
,-469,-10,-457,-1283,-1750,-21446,,,,,,,,,,,,,,,,,
,-887,-27,-1831,-5355,-7850,-84025,,,,,,,,,,,,-4,,,,,
,399,-16,-455,-1397,-2318,-20682,,,,,,,,,,,,3,,,,,
,-545,-1,1,27,-463,25274,,,,,,,,,,,,-3,,,,,
,935,-16,494,1334,1755,21927,,,,,,,,,,,,-9,,,,,
,534,13,1813,5249,8713,42567,,,,,,,,,,,,16,,,,,
,-1403,,396,1288,2775,-6643,,,,,,,,,,,,-16,,,,,
,460,,-18,-5,-32,3145,,,,,,,,,,,,-6,,,,,
,-115,,-442,-1243,-2519,17223,,,,,,,,,,,,-12,,,,,
,-111,-9,-1771,-5110,-8761,-40065,,,,,,,,,,,,12,,,,,
,-48,-1,-428,-1393,-2003,-35036,,,,,,,,,,,,15,,,,,
,509,-18,-25,-133,578,-32095,,,,,,,,,,,,2,,,,,
,261,,420,1238,2069,10888,,,,,,,,,,,,-8,,,,,
,-852,-13,1795,5217,7968,79426,,,,,,,,,,,,-7,,,,,
,400,14,496,1523,1859,37935,,,,,,,,,,,,18,,,,,
,1099,-14,16,15,208,-8446,,,,,,,,,,,,-2,,,,,
,-1424,10,-490,-1364,-1407,-40092,,,,,,,,,,,,-3,,,,,
