Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
,1361,-10,9,12,-10,-4,6,4,8,3,5,,-9,-7,-2,16,-4,15,,,,,
,-3906,,-4,10,5,7,-11,-11,-2,7,-12,-12,,-5,4,-10,-1,8,,,,,
,-1419,-9,5,-11,-22,-6,-8,-3,-15,-8,9,2,-1,11,9,15,4,-1,,,,,
,-104,,-14,-10,12,5,3,-7,-2,-10,3,9,,-2,-5,,-1,-16,,,,,
,-62,6,5,9,6,1,12,7,4,5,-7,-2,2,-1,-6,-16,-13,2,,,,,
,22045,-28,2,11,2,11,-1,13,8,13,8,-3,-8,,4,-9,-3,5,,,,,
,-3781,20,3,8,14,4,11,12,,4,-1,-5,4,1,-8,-1,4,2,,,,,
,-3920,-28,13,-3,-15,-8,-2,-11,12,-5,-13,13,10,1,4,13,6,-5,,,,,
,-3896,,-6,-7,-10,-10,2,-9,1,4,-2,-8,-8,-4,-2,-3,-2,-7,,,,,
,-3913,,-7,1,1,,-15,,-11,-5,9,1,-2,-4,6,7,3,7,,,,,
,-3912,,,-1,5,2,-4,-1,-11,-6,,1,7,15,16,3,-1,3,,,,,
,-2278,30,-2,2,22,12,6,-1,1,-7,-2,-3,-12,-6,-7,,1,2,,,,,
,-278,-17,5,-8,-12,-2,-5,6,1,9,10,1,,-3,-8,-14,-1,-9,,,,,
,-141,-31,-3,-5,8,,4,-1,1,6,-5,-12,-7,-3,-10,2,-9,7,,,,,
,366,18,-6,3,-1,-5,-6,7,8,-8,1,-5,6,7,3,-2,,-2,,,,,
,-185,-2,,11,-13,6,15,-4,5,-5,-1,16,,6,5,18,7,-5,,,,,
,-122,2,-2,-2,3,-5,11,-6,-2,5,2,11,13,-10,2,2,-3,4,,,,,
,190,,-4,-14,,-6,-6,1,-11,,-14,-10,-7,4,-14,3,6,10,,,,,
,196,-22,7,1,-2,28,2,9,6,,-2,2,-3,-4,2,-2,2,-14,,,,,
,-18,-5,1,9,,-21,-6,-10,4,-3,,-2,1,-7,13,-17,-12,2,,,,,
,3485,-4,-2,3,-3,-7,-6,6,1,21,17,-1,-6,2,-1,-4,-3,3,,,,,
,-3498,9,13,2,-3,4,1,4,-8,8,-5,8,11,10,-3,,12,13,,,,,
,406,,1,,-2,-7,-5,-4,-4,-17,-1,-11,-3,-6,5,-3,2,-14,,,,,
,-873,,-11,-3,2,8,-1,-5,3,-9,4,-4,4,3,-1,-3,-1,-5,,,,,
,105,-9,-8,-3,13,-10,6,5,9,1,7,15,14,3,4,15,-2,3,,,,,
,-69,9,7,-7,3,3,-10,8,-6,-4,-7,-3,-1,-9,-15,-4,4,-5,,,,,
,435,-29,6,5,-3,,-2,-1,,14,-10,,-4,-5,5,-3,-5,7,,,,,
,1158,-24,-7,-2,-8,5,10,-6,2,1,-5,-5,-10,12,-8,6,-3,2,,,,,
,456,27,7,20,1,-6,9,3,4,-6,5,1,-3,-1,2,-6,-1,-1,,,,,
,-1905,16,,-13,-3,5,-11,-6,5,11,8,-20,-2,-8,2,-4,1,-3,,,,,
,214,-55,-2,2,-7,14,1,-4,-7,-8,2,,9,,-2,-2,-4,-11,,,,,
,-341,38,5,5,9,-4,-2,6,-12,6,-2,15,-8,13,7,23,13,1,,,,,
,-79,-36,-8,-12,-1,-16,-6,-6,10,-8,10,20,-7,,-1,-3,3,11,,,,,
,156,35,-8,1,3,,8,6,3,7,-1,-8,6,-10,-8,-5,,11,,,,,
,-24,7,15,,-4,7,3,-10,5,-2,-3,-2,19,,-1,-7,,-9,,,,,
,-39,-56,1,-8,-4,-6,-3,1,-2,-12,-9,-1,-4,3,12,-2,1,4,,,,,
,103,48,-1,3,-4,5,-4,-2,-12,-4,2,-4,-5,-15,-8,,-20,-2,,,,,
,-94,-54,2,7,10,-9,3,1,-1,-1,-3,-5,-7,22,5,,5,-5,,,,,
,110,-1,-9,,9,9,6,9,2,-6,-5,-10,-16,-13,-4,7,3,-6,,,,,
,39,2,1,-4,-6,-1,-3,1,4,5,1,12,13,-3,5,5,-2,10,,,,,
,1624,-1,-1,10,13,4,-4,-1,-6,3,-4,1,10,3,-6,-4,-2,1,,,,,
,-1830,12,-2,-9,-6,5,-14,-8,4,-9,2,2,-2,8,10,,,5,,,,,
,-112,-10,1,3,-22,2,5,5,4,10,15,-1,-11,3,3,2,3,-11,,,,,
,2406,-2,-2,-3,15,-4,6,11,,12,-21,-2,-7,-15,-5,-13,2,1,,,,,
,-2198,19,-4,-2,-6,-8,-3,-14,-3,-5,12,9,17,13,6,14,3,1,,,,,
,-106,-16,6,,-4,,5,-1,-7,-5,8,-6,8,13,-8,5,-15,-2,,,,,
,505,-3,4,-2,,9,9,10,17,,3,,1,-14,4,-4,4,6,,,,,
,-208,-11,-5,7,3,-6,-6,2,-7,-4,-2,-1,-7,-17,-6,-1,2,12,,,,,
,707,2,8,,6,6,-3,-10,4,10,-10,16,-7,8,-3,-6,1,2,,,,,
,-984,-2,-2,4,1,3,1,1,-12,,1,-8,7,-2,2,-2,15,-5,,,,,
,22,,2,9,5,-6,-9,-4,4,-4,13,-14,-4,-2,-2,-3,-6,-4,,,,,
,-86,-18,7,-15,3,4,17,2,4,6,-12,8,3,18,9,-11,-3,-8,,,,,
,-77,19,-8,4,-5,-11,2,2,2,2,2,-2,-6,5,,17,-1,2,,,,,
,1609,-20,-3,2,2,2,-5,15,-7,-10,8,6,7,-15,-2,4,4,,,,,,
,-1622,-1,-5,-1,-9,-4,-5,-8,-6,-9,-3,-9,1,-3,-3,6,8,-2,,,,,
,874,3,-2,-7,8,3,1,-8,16,14,-9,3,-19,-1,5,-10,-15,-9,,,,,
,-588,-11,5,4,1,7,8,3,10,10,-2,5,9,3,8,11,-3,5,,,,,
,40,12,,16,6,10,8,13,2,-12,-1,,9,12,-1,-9,17,4,,,,,
,459,,4,-11,-3,-11,-10,-10,-4,-9,-10,1,-4,1,-16,-1,-3,-7,,,,,
,-456,-2,,-12,-2,-6,-1,7,-13,2,9,-7,4,-7,-5,-12,-15,5,,,,,
,-15,,-4,10,-3,12,5,2,5,5,6,1,-2,-4,9,3,-5,4,,,,,
,45,-11,2,-1,-6,3,-7,-3,-12,7,-3,8,-5,2,-6,7,15,8,,,,,
,-265,,-4,-2,-4,-10,10,-4,-6,-11,,-13,-2,2,-8,3,2,-5,,,,,
,-71,,4,6,7,,-5,8,16,11,-1,6,4,-4,11,-2,-9,-1,,,,,
,8,-20,3,-2,3,-2,-2,4,1,1,-2,15,-2,-1,3,-9,-4,-6,,,,,
,486,1,3,-2,1,-7,2,-10,-7,2,-2,-8,6,16,-2,3,11,11,,,,,
,-69,-2,-13,-9,4,1,-2,-7,-5,3,12,-7,1,-8,-2,2,4,-9,,,,,
,-517,,,5,-12,3,-2,7,-5,-16,6,4,-10,-2,,-1,1,-6,,,,,
,245,-10,8,2,-4,1,8,1,11,4,-2,-15,-3,3,3,4,15,13,,,,,
,298,,12,-3,-2,-7,-2,-14,-1,1,-4,7,2,-8,-1,-1,-15,-14,,,,,
,-230,,-2,-10,15,6,-7,12,-1,2,-2,16,,4,-3,-1,-10,13,,,,,
,-112,,-4,10,-9,,10,3,7,-10,2,-13,9,9,11,,8,,,,,,
,-58,11,-2,3,-7,-3,-14,-6,-8,-2,-5,-4,-7,-6,-5,-6,-2,-15,,,,,
,-91,-11,,3,-2,8,-5,2,8,2,4,10,-6,-10,7,15,11,4,,,,,
,912,-21,-6,5,10,-1,2,5,-1,10,-15,-15,10,3,-8,3,-3,3,,,,,
,-748,-1,-4,-3,4,1,13,-7,-17,-7,6,,17,5,-7,-15,-6,,,,,,
,222,23,-2,5,-3,8,-8,-5,6,6,10,12,1,3,15,10,-2,5,,,,,
,30,-3,-1,2,-1,-3,7,-6,11,-12,-6,-3,-17,-1,-9,10,5,-2,,,,,
,-68,-30,24,-4,-8,-9,-3,10,3,-3,14,-3,-11,-6,-12,-12,,5,,,,,
,1700,12,-11,-7,11,-7,-4,6,-5,8,2,1,12,-7,-1,-11,-6,6,,,,,
,-991,2,-4,-8,,-9,10,-5,7,3,-9,4,,,12,8,-2,-6,,,,,
,-822,19,4,4,,15,2,4,-12,3,-9,-2,-9,-4,,-4,-2,-2,,,,,
,-163,-21,-7,3,-7,-7,-9,-5,8,2,-1,-1,3,7,5,1,7,7,,,,,
,-16,,12,12,10,16,-10,,2,-7,3,-1,-3,-1,-10,10,-3,-14,,,,,
,-120,-13,-6,-8,-8,-1,15,-5,-5,-15,1,-1,5,-2,1,-3,-8,8,,,,,
,38,-20,,-4,8,-3,-3,,2,10,1,12,4,3,7,4,1,-10,,,,,
,26,22,-4,-9,8,-11,-13,9,-7,17,9,-4,3,12,-2,-8,4,-2,,,,,
,377,-19,10,9,-4,-2,9,-4,10,5,-2,7,4,1,-1,5,6,22,,,,,
,-22,20,-14,-12,-12,,-6,-5,-10,-13,-11,1,-13,-13,-2,-5,-10,-5,,,,,
,-290,-32,-6,5,-1,16,10,6,3,6,13,-3,-6,1,5,2,2,,,,,,
,155,,18,15,7,-6,3,-5,4,-1,1,-10,3,,-3,-7,-5,-5,,,,,
,1541,11,-1,-3,-6,9,-3,4,-3,-1,3,1,10,-6,-8,5,-5,-6,,,,,
,-1501,15,-6,14,-7,-4,3,1,8,2,-9,1,8,-3,10,3,9,-12,,,,,
,-288,-26,,-22,6,3,-6,3,-5,-10,-13,1,-17,8,6,-2,-9,9,,,,,
,-95,,-3,7,-6,-12,-8,-3,-10,-1,-1,,8,-2,-10,-3,2,14,,,,,
,429,12,-3,-9,4,10,7,-2,3,13,10,,-4,5,,-16,9,-12,,,,,
,-295,-12,4,8,4,7,-1,-7,-3,,5,-1,5,-3,7,5,,-7,,,,,
,424,,11,-6,2,-12,2,2,-4,-10,10,11,-7,5,-8,6,2,5,,,,,
,-499,-22,-7,-2,17,3,7,-1,4,-1,-2,-5,-1,-7,20,9,2,3,,,,,
,223,23,,-8,-11,1,-10,10,-3,17,-4,-13,1,1,-12,-3,7,2,,,,,
,2037,-21,-15,9,-14,-13,4,-3,8,-16,-2,13,7,9,-9,4,-3,-3,,,,,
,-2281,-10,3,16,2,3,-1,5,3,-1,-5,4,-7,2,7,7,-6,3,,,,,
,86,-1,55428,55433,55493,55532,55419,55455,55482,55512,55495,55522,55556,55560,55489,55505,55583,55539,,,,,
,147,1,222812,222907,223152,223268,222837,223023,223185,223206,223173,223340,223461,223410,223035,223233,223466,223348,,,,,
,-165,11,55973,56027,56089,56122,55990,56065,56111,56094,56103,56141,56167,56139,56050,56105,56161,56126,,,,,
,62,-11,-9,3,-4,-6,-15,-11,-11,3,-2,-3,8,-8,-8,-14,6,-6,,,,,
,29,-8,-1,-1,5,7,15,-9,-3,-8,7,5,7,-5,-5,,7,1,,,,,
,269,21,10,-5,1,,4,6,12,-6,-5,4,-11,3,-10,8,-9,,,,,,
,-207,-12,1,-5,4,,,11,3,1,-9,-11,5,-1,7,-10,-3,-4,,,,,
,400,-2,-3,-2,-3,,-5,-1,-2,-8,,4,2,1,10,1,-7,9,,,,,
,445,-20,5,-4,3,12,,1,-13,7,-1,1,2,,-3,9,-3,-2,,,,,
,-960,1,-13,10,-5,-6,-4,1,3,1,5,19,-3,3,-6,,16,8,,,,,
,1662,,6,9,-2,-5,5,-1,-1,,-2,9,,4,7,10,-7,-6,,,,,
,-1222,18,-1,-3,2,5,4,-1,1,12,7,-8,8,5,18,-1,,9,,,,,
,3796,-9,-4,-2,2,-5,-5,,5,1,7,6,9,6,-11,-3,11,2,,,,,
,-1711,10,4,-2,,-4,-1,14,2,1,-12,-11,-12,-13,-9,-14,-10,-5,,,,,
,-1771,-34,10,-15,,,-9,-18,-6,-9,1,4,-8,-2,-12,1,1,-5,,,,,
,-568,21,10,,,9,6,9,4,-5,1,,5,-13,16,11,,7,,,,,
,10619,-17,-10,23,-3,-4,16,3,,5,3,1,5,4,,3,3,10,,,,,
,-3850,1,-9,-10,-8,6,-5,-21,-16,-7,-14,-8,-8,16,-5,-7,-2,-10,,,,,
,-3837,,7,1,20,1,9,17,16,18,-5,-2,8,10,7,2,4,-5,,,,,
,1603,-23,6,-12,-5,5,1,-10,-2,-10,19,7,-10,-12,-1,-9,11,4,,,,,
,-3861,22,1,5,-11,,-2,2,-1,1,6,-6,-2,-7,-10,,-11,-6,,,,,
,415,-19,-1,8,9,-6,-15,1,-4,-3,-9,-10,2,14,15,,-11,,,,,,
,-1160,19,-7,,-4,-2,,14,1,-3,-6,10,11,8,-5,4,9,5,,,,,
,-216,-1,-2,-3,-6,12,4,1,8,7,10,7,-13,-8,3,2,-3,-5,,,,,
,2142,-31,-6,,13,4,-1,-6,3,,-13,-18,-6,1,-1,,-13,-10,,,,,
,-2138,13,12,7,-7,-14,-3,-9,-8,6,7,2,6,-9,-13,-2,18,8,,,,,
,-25,-1,12,3,,-2,-1,8,10,-8,3,-1,8,-4,5,2,1,6,,,,,
,199,-10,2,-3,13,13,3,5,12,-3,-7,2,5,-5,-5,-7,-11,8,,,,,
,255,-2,-17,-4,-7,-7,-1,-14,-16,4,-2,-1,-12,5,,-10,-6,-7,,,,,
,-454,-10,-3,4,5,-5,9,8,6,8,11,7,6,4,11,8,13,-11,,,,,
,305,7,5,,3,-7,-8,-6,-6,-10,3,5,2,,-3,-2,6,1,,,,,
,-102,-14,-5,6,-7,3,,-4,-8,-4,-8,-3,-9,-2,,-2,-9,11,,,,,
,-229,19,-7,-5,-5,1,-2,-2,,-8,15,-4,10,-3,7,8,10,1,,,,,
,-69,-1,15,-16,1,11,-1,9,-7,2,-11,8,-8,1,,8,6,-5,,,,,
,844,1,-7,9,5,2,1,6,8,16,-4,-5,12,1,2,-7,-6,-15,,,,,
,-834,-32,-6,1,-1,-10,6,-17,7,5,3,-4,1,5,,1,-2,3,,,,,
,33,-1,15,-5,-5,-6,2,,-3,-13,-7,1,-5,-2,-6,-2,-5,11,,,,,
,143,2,-9,8,-2,2,-4,10,-3,-13,3,,-7,-5,,-2,-8,-3,,,,,
,-102,-1,-10,-3,-7,5,-4,1,-8,8,7,2,1,-8,-1,3,,4,,,,,
,-84,1,2,8,-3,-4,-3,3,-2,-2,-7,-5,8,13,5,9,3,11,,,,,
,225,-1,7,4,3,-10,1,-8,22,-5,-3,2,-6,6,-5,-5,8,4,,,,,
,-168,12,-8,-11,1,13,19,21,-5,9,14,-4,4,9,5,3,-6,-8,,,,,
,-39,-12,7,-13,,4,-11,-20,-18,20,-3,7,-2,-4,,,1,-4,,,,,
,1276,-20,13,-2,-3,4,-1,-5,8,-13,-4,3,2,-8,-7,3,-6,-5,,,,,
,-1209,20,-4,10,-6,-10,-1,-2,15,-1,-2,-1,-12,,4,-3,11,-3,,,,,
,854,-19,-10,8,3,-9,-2,10,-9,-6,4,3,2,3,-2,-9,5,1,,,,,
,-915,19,4,7,-1,-6,-10,-7,-8,-14,-1,-7,2,-2,-5,6,3,3,,,,,
,390,-30,7,2,15,26,,8,-2,9,-1,-3,4,7,-10,7,-6,1,,,,,
,-135,10,-6,-3,7,-8,1,-2,12,,,-2,-9,-11,7,-7,-1,,,,,,
,-138,-9,7,,-10,-6,-2,-6,-10,-1,-6,10,13,2,9,6,-4,-2,,,,,
,110,-1,,1,-6,,7,5,17,18,-1,-5,-8,-2,,-5,-10,5,,,,,
,-172,11,1,-5,-8,7,9,6,-11,-3,4,-7,-7,-2,-12,-15,7,-3,,,,,
,199,-12,-10,5,13,-2,-2,1,-5,-5,6,8,7,4,-1,10,,-15,,,,,
,-180,1,2,-3,-2,5,-2,-6,-3,6,-13,-7,-10,-2,10,7,1,3,,,,,
,30752,27,-2,-17,-7,,-3,1,-2,-2,8,9,-3,3,13,5,2,13,,,,,
,-3893,-17,-6,5,5,-8,7,-7,15,,-3,10,10,-9,-6,-2,-2,-6,,,,,
,-3925,-31,-1,,-4,1,-3,5,-5,-8,15,6,13,8,-2,-6,5,-7,,,,,
,-3908,1,9,-1,18,-3,1,17,-3,1,-18,-22,-7,4,-5,-6,2,14,,,,,
,-3919,21,1,9,-8,-5,5,-17,12,-4,-9,-5,9,-5,2,4,-10,1,,,,,
,-3915,-10,-17,-9,4,9,-16,-12,2,11,14,16,-2,-5,-4,4,-4,6,,,,,
,-3894,-9,5,-3,-15,8,6,3,-15,-3,16,-9,-12,10,-6,-4,6,-1,,,,,
,-3920,-13,7,3,-5,-6,6,3,10,1,-1,3,6,,9,1,6,2,,,,,
,446,3,1,1,11,-6,-12,1,3,-6,-6,-4,-2,-7,-8,-3,7,-13,,,,,
,-3224,,3,-6,4,1,15,12,4,,5,-2,-2,-11,5,-2,-7,3,,,,,
,-307,9,-11,6,12,1,6,-3,-14,6,-9,11,,7,12,6,-1,1,,,,,
,-299,-2,2,-4,-5,3,-9,6,5,-2,-3,7,7,9,-9,4,,5,,,,,
,612,-9,-9,-4,-2,12,-9,-8,-17,-12,-4,-13,-16,-9,-2,-4,-4,-10,,,,,
,-516,,-5,17,-8,-8,-7,-6,1,9,8,-1,6,-3,9,15,5,16,,,,,
,-56,-11,14,1,4,8,25,3,8,9,-5,1,12,13,,-12,7,-5,,,,,
,87,15,19,-16,4,-12,,-4,1,-5,1,-5,-1,-6,-5,5,-2,1,,,,,
,-195,-26,3,11,-4,7,-11,-3,14,1,9,8,4,7,2,6,-2,-6,,,,,
,1668,,-8,8,-4,-8,-10,8,-10,5,-1,,-9,-3,-8,-7,4,9,,,,,
,-1628,20,6,-1,-5,4,6,12,-4,3,-2,-7,-7,-3,7,-1,7,-4,,,,,
,394,-22,-11,2,15,6,4,-8,7,-5,-5,,7,6,5,-7,-2,-5,,,,,
,-460,13,-3,-12,-7,-12,-4,-14,-6,-15,-8,8,2,-15,-7,2,-16,-10,,,,,
,184,9,-2,-10,-10,-5,7,-2,-1,-6,7,-1,-7,4,-1,14,3,-7,,,,,
,2137,-27,10,20,16,9,3,20,,13,8,1,5,11,17,-7,-2,7,,,,,
,-2032,18,-2,-12,-10,1,,-3,-5,-9,-19,2,7,,7,-17,-2,-2,,,,,
,1235,-1,-8,-5,-6,-2,-3,-3,,5,5,-12,-14,-18,-13,12,3,5,,,,,
,-1124,-12,-4,18,14,2,-2,6,8,16,2,9,-1,3,-19,7,-1,11,,,,,
,1035,12,10,-14,2,-9,-8,-9,10,-1,7,9,10,15,4,-5,7,4,,,,,
,-1229,-18,13,5,-10,4,6,-5,-8,3,-3,-6,-3,-6,8,-4,-3,,,,,,
,1299,-27,-14,6,-2,10,1,12,-8,-8,,-9,,11,-5,-3,1,-17,,,,,
,-1028,17,-15,-6,-4,-2,-21,-5,5,-15,-4,13,-9,-6,-2,-12,-10,-6,,,,,
,250,11,5,-5,6,-10,10,-11,-12,20,2,1,4,-7,9,13,10,15,,,,,
,3938,,3,-4,-5,-10,7,3,-4,-9,5,-2,10,3,-9,6,-2,-2,,,,,
,-3870,-11,-7,-1,,11,-9,7,6,-2,5,-2,8,-5,-10,-4,2,,,,,,
,-267,,8,12,-1,,6,5,7,2,1,5,-2,-4,6,,-10,5,,,,,
,-515,-32,11,1,5,3,7,-1,13,17,-1,-7,-15,-2,6,5,-8,,,,,,
,365,32,-2,-2,11,-7,-4,-1,-9,1,3,-13,9,16,2,-2,5,-4,,,,,
,-274,-34,2,10,2,-15,-7,4,-7,-15,-8,-1,5,-3,-17,-9,2,-3,,,,,
,888,2,-2,-11,-7,12,1,1,-2,-4,-3,3,-6,-2,13,,3,-6,,,,,
,1285,-4,-3,-4,7,8,3,-10,10,-2,2,12,7,-3,8,8,5,-3,,,,,
,-2234,1,5,5,7,11,12,16,-9,4,3,-1,-9,9,2,-3,2,13,,,,,
,-43,-13,2,7,-12,-3,1,-2,7,6,4,-14,-1,-6,-4,3,4,-7,,,,,
,2711,3,-6,,-7,-4,-11,-20,-1,3,5,-9,10,-4,-3,5,-2,5,,,,,
,-2816,,2,-3,9,-9,5,3,8,-13,-1,5,-1,-2,-11,-10,-18,-8,,,,,
,1311,-2,-10,-10,-4,,-2,,-15,-1,-15,15,-10,6,7,-9,6,-6,,,,,
,-1143,9,4,-4,-1,4,5,-9,,9,11,5,-4,-10,3,-2,-7,4,,,,,
,-319,-8,1,-2,-2,4,-7,1,5,3,-5,-2,4,1,-12,-1,13,-3,,,,,
,388,-4,,6,-7,-4,-1,6,6,-3,-11,,6,4,7,1,-4,-5,,,,,
,-329,-18,-4,-2,-6,4,-2,4,-6,-8,13,-4,-6,9,10,13,6,13,,,,,
,229,2,2,6,3,3,-3,8,-2,,6,-2,5,-9,-10,1,,2,,,,,
,-145,,6,7,17,-11,-6,-22,2,-5,-5,-7,1,-2,5,2,-9,,,,,,
,41,16,-15,2,-5,,7,,1,13,-12,-3,-4,5,1,-13,5,-2,,,,,
,1786,-17,6,-5,,-3,3,10,,-10,4,8,-9,,-13,2,-2,7,,,,,
,-1697,,14,-2,-5,13,7,10,5,2,4,10,13,4,17,7,8,,,,,,
,87,-5,-4,1,4,1,-6,5,3,-2,1,-11,-5,-3,-10,,-11,,,,,,
,-144,-5,-4,3,1,-2,1,-3,-8,-8,-3,6,-5,-7,-1,-6,-3,-15,,,,,
,389,13,1,1,,3,16,-8,,5,9,5,3,5,4,5,4,3,,,,,
,-369,-13,,-22,-4,-4,-24,-4,9,13,-1,-1,-3,5,8,6,8,18,,,,,
,-31,-17,-12,13,4,-1,8,,-5,-3,-11,-1,4,5,-13,-5,-7,-3,,,,,
,123,-4,7,-4,-7,1,2,7,-4,-10,6,5,-3,-12,1,15,5,8,,,,,
,536,19,-10,5,-4,2,-7,-10,8,-3,-1,6,5,10,9,-9,12,-10,,,,,
,-595,-18,13,12,7,8,21,15,9,21,-4,-14,-2,1,-2,-12,-9,-8,,,,,
,1750,-1,4,-2,-2,-2,-12,-5,-10,1,4,,19,-4,-5,,-12,3,,,,,
,-1642,15,1,-5,1,2,-4,-5,-3,-14,6,2,-16,-15,5,-3,2,-16,,,,,
,1578,-15,-21,7,-2,-13,8,11,-4,7,-7,-5,3,7,-11,7,-6,-1,,,,,
,-1208,21,,7,12,2,-8,-1,-5,-1,-12,-1,-5,1,-8,6,16,11,,,,,
,-645,-30,6,3,2,-1,-1,6,7,9,9,12,-8,-6,3,-1,5,10,,,,,
,-50,10,4,-13,6,8,-2,-1,15,-1,4,-6,3,4,7,-6,-6,1,,,,,
,112,,3,-4,-14,-12,,-4,-4,-24,,2,10,6,2,5,-4,5,,,,,
,107,-11,8,-2,2,3,4,-2,-13,,10,,5,5,9,9,5,-1,,,,,
,1958,-16,2,-9,,3,13,-4,-8,-4,-4,5,-15,-13,-5,-12,-6,-5,,,,,
,-2009,-3,-3,-1,-5,-2,-15,-2,,19,-5,-5,-7,-10,9,5,4,,,,,,
,678,9,-10,11,-1,-6,-9,4,4,6,-4,1,20,15,6,3,-2,-7,,,,,
,-804,,-10,-2,-10,4,1,-3,1,-10,1,-1,3,-3,-9,-16,-1,1,,,,,
,1600,-5,11,3,13,-6,4,-4,-3,1,3,-1,-1,12,-4,5,5,-8,,,,,
,-1540,5,-55420,-55442,-55489,-55504,-55432,-55453,-55478,-55508,-55506,-55534,-55560,-55568,-55479,-55504,-55563,-55544,,,,,
,-51,-6,-222813,-222920,-223148,-223292,-222814,-223025,-223168,-223206,-223157,-223358,-223461,-223420,-223036,-223233,-223473,-223327,,,,,
,150,8,-55971,-56022,-56082,-56121,-55997,-56065,-56116,-56102,-56102,-56136,-56189,-56141,-56046,-56106,-56172,-56128,,,,,
,1508,-8,6,8,-3,9,-4,-2,-12,7,-9,-8,-2,15,-10,2,-2,-1,,,,,
,-1594,-7,-3,1,-6,,-7,2,3,5,4,4,8,-3,-1,3,-4,-7,,,,,
,399,,4,6,1,8,10,6,5,8,-7,2,11,6,6,14,2,3,,,,,
,-388,4,10,-6,-3,-2,7,5,15,-3,3,,-2,-3,-10,-7,1,1,,,,,
,-151,-2,-16,-1,3,1,-11,-9,-3,1,-4,10,-10,-8,2,-3,-13,-2,,,,,
,59,-16,-3,1,3,-13,1,-3,-15,-10,10,2,-7,-15,3,-11,10,-7,,,,,
,-128,15,4,-20,-9,7,-7,-7,8,,-9,-2,2,7,-10,1,4,-2,,,,,
,264,1,-3,8,-1,-9,8,-5,-5,1,-5,-2,,1,17,1,-1,2,,,,,
,-11,-7,9,14,3,-4,5,4,3,29,15,9,17,12,5,15,-1,5,,,,,
,-173,-37,2,-1,5,15,1,21,5,-16,-1,-4,-8,4,7,-5,1,4,,,,,
,113,26,-3,-10,5,-9,-5,1,4,-14,-3,-5,-6,7,-16,,-6,4,,,,,
,-108,,7,7,-7,2,11,-14,,2,-4,-5,7,-7,4,-10,10,-8,,,,,
,167,,-12,7,-10,9,2,-5,,10,6,-5,-1,-3,-7,5,-7,-10,,,,,
,1025,-23,-10,-4,-3,-5,-7,-12,-7,1,1,9,-3,,1,3,-4,5,,,,,
,-1092,23,20,-8,-3,-4,,19,-3,-11,-5,3,6,-7,13,-1,9,12,,,,,
,-35,,4,3,8,-3,,2,-5,5,4,17,-6,3,-9,-3,-8,1,,,,,
,-135,-41,-9,-1,,-3,7,-4,7,3,5,-23,-1,,-5,10,-8,-1,,,,,
,59,-3,,1,4,-7,-4,,-7,,3,-1,1,-4,2,-5,7,7,,,,,
,60,8,-8,,3,6,-6,-5,1,-3,-13,9,-8,5,1,-6,-1,-11,,,,,
,230,29,1,2,11,5,-2,10,7,-4,-1,-6,15,2,-4,1,7,5,,,,,
,-322,-33,3,-4,-5,7,-13,6,-6,6,5,-1,5,7,2,-4,3,-3,,,,,
,-75,15,-1,-1,3,-10,20,-1,21,11,-7,1,-9,-6,2,7,-1,-2,,,,,
,436,-18,6,5,2,-8,8,-15,6,-8,-7,-11,-3,2,-5,-8,-3,-3,,,,,
,-211,6,-8,-12,-19,,,3,-24,-9,16,8,-9,8,14,4,4,5,,,,,
,-77,1,5,2,2,7,-6,6,-6,3,8,-4,16,-10,-1,-4,-2,-3,,,,,
,3560,-7,2,3,2,4,-9,4,,3,-10,9,-5,-9,-4,3,4,8,,,,,
,-3200,3,-7,10,-1,-5,-5,4,,4,3,-11,-10,-4,-5,5,-10,-1,,,,,
,1593,15,12,-2,-2,-4,8,-7,6,-1,7,10,-2,14,8,-4,-2,-4,,,,,
,631,-26,-5,-1,2,-3,-4,-2,,-15,-5,-8,15,3,-4,1,5,-5,,,,,
,-2495,-25,-8,-5,10,1,-7,-3,-7,9,-12,-1,3,-7,-7,-4,-8,-5,,,,,
,2511,24,12,3,-7,6,9,7,6,4,-3,-2,-10,4,-2,4,7,2,,,,,
,-2739,-21,-18,2,-5,5,,,6,-3,17,14,9,3,10,12,6,13,,,,,
,1642,18,-1,2,6,-1,1,6,-5,2,4,2,-2,-5,9,-6,-21,-7,,,,,
,-1568,-14,8,-10,3,6,-2,-5,-11,-10,-10,1,-6,5,-6,-16,1,-2,,,,,
,820,-2,2,-1,-1,7,-2,-10,14,12,-11,-6,9,-7,-1,1,10,9,,,,,
,-757,-12,7,,9,-7,-1,-2,-4,3,-2,-7,2,-4,-8,9,5,-2,,,,,
,-68,17,-5,8,5,,17,6,-1,3,23,7,-1,-7,1,2,-5,-7,,,,,
,-53,-16,,-4,-13,-8,,-4,1,-10,-2,8,1,10,15,2,12,7,,,,,
,80,10,4,6,-12,,-7,3,-7,-11,-35,-7,-8,-12,-6,2,-4,-5,,,,,
,817,-3,-6,2,10,1,,9,5,-10,12,-7,8,13,-4,-7,-8,-11,,,,,
